0,1969,03,19
1,1975,03,20
2,1992,10,14
3,1940,11,20
4,1998,05,26
5,1992,11,03
6,1975,03,09
7,1975,06,11
8,1992,06,13
9,2013,11,04
10,1952,03,24
11,1992,12,18
12,1967,12,01
13,1977,08,14
14,1992,04,10
15,2016,03,28
16,1952,10,29
17,1992,01,14
18,1998,10,27
19,1980,06,10
20,1992,07,15
21,2001,08,01
22,2002,04,11
23,1992,08,24
24,1973,01,04
25,1971,04,14
26,1992,09,23
27,2016,05,17
28,1968,04,12
29,1992,04,18
30,2000,09,18
31,1988,09,21
32,1992,04,02
33,1995,07,27
34,1947,10,25
35,1992,12,03
36,1972,10,10
37,1989,04,08
38,1992,05,06
39,1951,11,06
40,2006,10,09
41,1992,09,10
42,1940,11,14
43,1992,03,03
44,1992,07,05
45,1960,12,04
46,1960,03,15
47,1992,09,03
48,1974,04,10
49,1999,12,25
50,1992,08,04
51,1978,01,19
52,2015,09,25
53,1992,07,01
54,1999,08,11
55,1974,12,05
56,1992,09,11
57,2000,11,23
58,1960,05,14
59,1992,12,01
60,2007,05,24
61,1955,09,27
62,1992,05,06
63,1959,12,26
64,2018,02,24
65,1992,11,08
66,1975,12,30
67,1998,03,17
68,1992,05,07
69,1958,06,22
70,1998,12,16
71,1992,02,06
72,1980,08,26
73,2019,02,24
74,1992,05,11
75,1972,03,13
76,1956,05,16
77,1992,10,09
78,2006,01,27
79,1957,10,29
80,1992,10,09
81,2018,09,15
82,1952,11,11
83,1992,07,05
84,1956,05,31
85,2012,01,21
86,1992,03,20
87,1974,11,01
88,1977,04,15
89,1992,12,01
90,1989,08,21
91,1943,02,26
92,1992,12,24
93,1982,05,29
94,2014,10,05
95,1992,05,27
96,1980,11,03
97,1982,04,28
98,1992,05,18
99,2001,11,15
100,1960,01,31
101,1992,01,22
102,1993,10,09
103,2007,12,31
104,1992,02,15
105,1994,07,07
106,1992,10,23
107,1992,06,28
108,2008,08,14
109,2001,02,18
110,1992,11,06
111,2014,08,31
112,1993,08,06
113,1992,12,21
114,1945,01,20
115,2000,07,29
116,1992,09,13
117,1972,02,11
118,1964,05,04
119,1992,09,12
120,2005,09,06
121,2017,04,28
122,1992,08,19
123,2015,10,28
124,1945,06,06
125,1992,03,16
126,2014,09,26
127,1982,08,30
128,1992,09,18
129,1977,04,18
130,1941,03,19
131,1992,05,23
132,2012,01,21
133,2006,09,04
134,1992,08,14
135,1947,06,21
136,1955,06,18
137,1992,05,04
138,2006,07,17
139,2007,02,18
140,1992,05,01
141,2012,04,26
142,1973,10,04
143,1992,07,16
144,1962,07,10
145,2001,12,26
146,1992,07,03
147,2000,12,01
148,2006,12,30
149,1992,05,28
150,1969,07,17
151,1988,09,30
152,1992,03,12
153,1988,04,18
154,2019,10,30
155,1992,08,06
156,1983,09,16
157,1981,05,19
158,1992,12,23
159,1993,03,08
160,1977,11,05
161,1992,12,31
162,1956,11,21
163,2000,10,18
164,1992,08,18
165,1973,12,30
166,1970,11,10
167,1992,07,23
168,1953,07,06
169,1956,06,25
170,1992,04,04
171,2003,08,16
172,2016,03,17
173,1992,09,17
174,1974,07,12
175,1941,03,07
176,1992,09,05
177,2002,01,19
178,1957,06,28
179,1992,04,02
180,1971,04,10
181,1947,12,02
182,1992,06,23
183,1949,06,13
184,1959,10,12
185,1992,04,26
186,1948,02,11
187,1940,12,09
188,1992,12,01
189,1946,09,27
190,2003,06,28
191,1992,04,08
192,1986,03,30
193,2012,11,27
194,1992,12,05
195,1975,05,31
196,1959,04,18
197,1992,09,08
198,1996,11,26
199,1966,02,02
200,1992,01,28
201,1980,03,14
202,1992,11,08
203,1992,03,27
204,1952,02,29
205,1955,05,02
206,1992,09,19
207,1953,07,09
208,1956,12,11
209,1992,01,05
210,1992,07,31
211,1942,12,16
212,1992,05,02
213,1960,10,24
214,1995,07,24
215,1992,05,16
216,1977,07,23
217,2013,01,15
218,1992,12,26
219,1952,03,25
220,1974,02,25
221,1992,06,21
222,1983,03,26
223,2002,11,07
224,1992,07,02
225,2003,01,03
226,1941,07,05
227,1992,01,25
228,2019,02,09
229,1965,11,04
230,1992,01,14
231,1985,12,01
232,1988,09,30
233,1992,01,21
234,1976,09,01
235,1941,01,21
236,1992,02,25
237,2000,07,22
238,1951,09,21
239,1992,09,04
240,2005,11,15
241,2006,10,13
242,1992,02,21
243,1975,06,04
244,1953,08,09
245,1992,02,08
246,1955,12,03
247,1987,06,07
248,1992,08,05
249,1949,12,23
250,1946,10,31
251,1992,09,12
252,1988,10,17
253,1979,08,06
254,1992,05,30
255,1949,08,08
256,1975,06,03
257,1992,08,19
258,1973,06,19
259,1966,10,15
260,1992,07,29
261,1976,02,21
262,2003,04,02
263,1992,05,30
264,1941,03,13
265,1950,06,03
266,1992,05,01
267,1945,08,07
268,2013,12,22
269,1992,05,18
270,1968,01,01
271,1967,05,28
272,1992,05,01
273,1944,03,14
274,2006,11,19
275,1992,10,19
276,1987,11,24
277,1966,01,30
278,1992,11,15
279,1975,11,22
280,1978,03,27
281,1992,07,05
282,1987,03,02
283,1948,05,03
284,1992,07,22
285,1977,02,15
286,1957,10,25
287,1992,09,21
288,1959,01,23
289,1970,12,22
290,1992,07,25
291,2002,09,02
292,1982,10,14
293,1992,04,16
294,1973,03,12
295,1946,09,07
296,1992,06,14
297,1973,10,24
298,1992,09,02
299,1992,09,20
300,1947,04,16
301,1956,04,09
302,1992,06,18
303,1975,10,05
304,1983,04,26
305,1992,05,26
306,1945,04,06
307,2020,02,05
308,1992,05,22
309,1948,07,04
310,1971,06,04
311,1992,07,02
312,1970,08,09
313,1972,09,29
314,1992,02,15
315,1971,09,29
316,1999,10,15
317,1992,07,02
318,1993,10,01
319,1998,09,28
320,1992,08,02
321,1986,08,06
322,2013,02,12
323,1992,02,06
324,1948,08,05
